Unnamed: 0,consult,output
24,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?origin
WHERE {
 ?grape dbo:species dbr:Vitis_vinifera.
 ?grape dbo:origin?origin.
}
","{'head': {'link': [], 'vars': ['origin']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Georgia_(country)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Croatia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Spain'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hungary'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/France'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Germany'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lauffen_am_Neckar'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Portugal'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Klosterneuburg'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Geisenheim'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Switzerland'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italy'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Greece'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bosnia_and_Herzegovina'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/California'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Czechoslovakia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moravia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Refosco'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovenia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Friuli-Venezia_Giulia_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cyprus'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Republic_of_Macedonia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lorraine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rhine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Romania'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldova'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ukraine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Serbia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bulgaria'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldavia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sicily'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alzey'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Franconia_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Transylvania'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Randersacker'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ardèche'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Siebeldingen'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/German_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria-Hungary'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Argentina'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/French_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Santorini'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italian_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Egypt'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Freiburg_im_Breisgau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Thurgau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bordeaux_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_West_France_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_States'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Turkey'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_Africa'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alsace_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Burgundy'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montferrat'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Loire'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montpellier'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovakia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Verona'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Vicenza'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maissau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Weinsberg'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jura_(department)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Central_Europe'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rheingau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Israel'}}]}}"
25,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?person)
WHERE {
 ?child dbo:deathPlace dbr:Indiana.
 ?child dbo:parent?person.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '7'}}]}}"
26,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
27,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?river
WHERE {
 ?river dbo:source dbr:Lake_Ontario.
}
","{'head': {'link': [], 'vars': ['river']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'river': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Saint_Lawrence_River'}}]}}"
28,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
29,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?religion
WHERE {
  dbr:Emel_Magazine dbo:foundedBy?person.
 ?person dbo:religion?religion.
}
","{'head': {'link': [], 'vars': ['religion']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
30,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
31,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?city)
WHERE {
 ?city dbo:isLocatedNear?sea.
 ?sea dbo:isPartOf dbr:Fig_Tree_Bay.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
32,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
33,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
34,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
35,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
36,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?location
WHERE {
  dbr:Dubai_World_Cup dbo:location?location.
}
","{'head': {'link': [], 'vars': ['location']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_Arab_Emirates'}}, {'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dubai'}}, {'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Meydan_Racecourse'}}]}}"
37,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?owner
WHERE {
 ?newspaper dbo:founder dbr:Nehru.
 ?newspaper dbo:owner?owner.
}
","{'head': {'link': [], 'vars': ['owner']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
38,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?place
WHERE {
 ?airline dbo:headquarters?place.
 ?flight dbo:operatedBy?airline.
 ?place dbo:country dbr:United_Kingdom.
}
","{'head': {'link': [], 'vars': ['place']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
39,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?magazine
WHERE {
 ?magazine dbo:founder dbr:Ralph_J._Gleason.
}
","{'head': {'link': [], 'vars': ['magazine']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'magazine': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rolling_Stone'}}]}}"
40,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:USS_Marmora_(IX-189) dbo:shipBuilder dbr:Seattle.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 8: syntax error at \'IX\' before \'-\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nASK {\\n  dbr:USS_Marmora_(IX-189) dbo:shipBuilder dbr:Seattle.\\n}\\n""']"
41,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:Albania dbo:largestCity dbr:Tirana.
}
","{'head': {'link': []}, 'boolean': True}"
42,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?city
WHERE {
 ?beverage dbo:related dbr:Barq.
 ?beverage dbo:location?city.
}
","{'head': {'link': [], 'vars': ['city']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
43,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
44,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
45,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?debutWork
WHERE {
  dbr:Whitney_Wistert dbo:debutWork?debutWork.
}
","{'head': {'link': [], 'vars': ['debutWork']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
46,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
47,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?show)
WHERE {
 ?show dbo:channel dbr:Fox_Broadcasting_Company.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '163'}}]}}"
48,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?river
WHERE {
 ?river dbo:mouthLocation dbr:Arctic_Ocean.
 ?river dbo:mouthLocation dbr:Laptev_Sea.
}
","{'head': {'link': [], 'vars': ['river']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
49,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?war
WHERE {
 ?leader a dbo:Leader ;
          dbo:opponents?war.
  FILTER(?leader = dbr:Chung_Il_Kwon)
}
","{'head': {'link': [], 'vars': ['war']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
50,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
51,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
52,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?member
WHERE {
 ?member dbo:role dbr:Air_interdiction.
}
","{'head': {'link': [], 'vars': ['member']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
53,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?member
WHERE {
 ?member dbo:currentMembers dbr:Insects_vs_Robots.
}
","{'head': {'link': [], 'vars': ['member']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
54,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:Ombla dbo:country dbr:Croatia.
}
","{'head': {'link': []}, 'boolean': True}"
55,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?person
WHERE {
 ?person dbo:hometown dbr:Greater_Napanee.
}
","{'head': {'link': [], 'vars': ['person']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'person': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Avril_Lavigne'}}, {'person': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Deryck_Whibley'}}]}}"
56,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
57,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?nationalteam
WHERE {
  dbr:Trn_Vit_Hng dbo:nationalteam?nationalteam.
}
","{'head': {'link': [], 'vars': ['nationalteam']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
58,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?designer
WHERE {
 ?designer dbo:designer dbr:Renfe.
 ?designer dbo:owner dbr:Renaissance_Center.
}
","{'head': {'link': [], 'vars': ['designer']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
59,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?uni
WHERE {
  dbr:Joshua_A._Siegel dbo:almaMater?uni.
}
","{'head': {'link': [], 'vars': ['uni']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
60,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?book)
WHERE {
 ?book dbo:author dbr:Novelas_Ejemplares.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
61,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?river
WHERE {
 ?river dbo:sourcePlace dbr:Essex.
}
","{'head': {'link': [], 'vars': ['river']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
