Unnamed: 0,consult,output
10,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?race
WHERE {
 ?race dbo:participant dbr:Fergie_Sutherland.
 ?race dbo:participant dbr:War_of_Attrition.
}
","{'head': {'link': [], 'vars': ['race']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
11,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT?show
WHERE {
 ?show dbo:artist?artist.
 ?artist rdfs:label ""Christopher Franke""@en.
 ?show dbo:network dbr:Prime_Time_Entertainment_Network.
}
","{'head': {'link': [], 'vars': ['show']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
12,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?battle)
WHERE {
 ?battle dbo:battle?militaryPerson.
 ?militaryPerson dbo:battle dbr:World_War_II.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '20'}}]}}"
13,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?broadcaster
WHERE {
 ?broadcaster dbo:parentOrganization dbr:Comcast.
}
","{'head': {'link': [], 'vars': ['broadcaster']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
14,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:William_H_Blanchard dbo:place dbr:Colorado.
}
","{'head': {'link': []}, 'boolean': False}"
15,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?sport
WHERE {
 ?school dbo:sport?sport.
  FILTER (?sport = dbr:Battle_chess)
}
","{'head': {'link': [], 'vars': ['sport']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
16,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?state
WHERE {
  dbr:Channel_(TV_station) dbo:district?district.
 ?district dbo:state?state.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 9: syntax error at \'TV_station\' before \')\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?state\\nWHERE {\\n  dbr:Channel_(TV_station) dbo:district?district.\\n ?district dbo:state?state.\\n}\\n""']"
17,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?astronaut
WHERE {
 ?mission dbo:mission dbr:Apollo_11.
 ?mission dbo:mission dbr:Gemini_8.
 ?mission dbo:mission?astronaut.
 ?astronaut a dbo:Astronaut.
}
","{'head': {'link': [], 'vars': ['astronaut']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
18,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?stadium)
WHERE {
 ?stadium dbo:tenant dbr:Raptors_905.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '2'}}]}}"
19,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?location
WHERE {
  dbr:Dzogchen_Ponolop_Rinpoche dbo:location?location.
}
","{'head': {'link': [], 'vars': ['location']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
20,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?owner
WHERE {
 ?tunnel dbo:operatedBy dbr:Massachusetts_Department_of_Transportation.
 ?tunnel dbo:owner?owner
}
","{'head': {'link': [], 'vars': ['owner']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'owner': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Massachusetts'}}]}}"
21,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?award
WHERE {
 ?award dbo:director dbr:Saraband.
}
","{'head': {'link': [], 'vars': ['award']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
22,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?almamater
WHERE {
 ?president dbo:vicePresident dbr:Enrique_José_Varona.
 ?president dbo:almaMater?almamater.
}
","{'head': {'link': [], 'vars': ['almamater']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'almamater': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cornell_University'}}]}}"
23,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?routeEnd
WHERE {
 ?routeEnd dbo:routeEnd dbr:Birmingham_and_Oxford_Junction_Railway.
}
","{'head': {'link': [], 'vars': ['routeEnd']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
24,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?origin
WHERE {
 ?grape dbo:species dbr:Vitis_vinifera.
 ?grape dbo:origin?origin.
}
","{'head': {'link': [], 'vars': ['origin']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Georgia_(country)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Croatia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Spain'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hungary'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/France'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Germany'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lauffen_am_Neckar'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Portugal'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Klosterneuburg'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Geisenheim'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Switzerland'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italy'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Greece'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bosnia_and_Herzegovina'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/California'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Czechoslovakia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moravia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Refosco'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovenia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Friuli-Venezia_Giulia_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cyprus'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Republic_of_Macedonia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lorraine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rhine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Romania'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldova'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ukraine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Serbia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bulgaria'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldavia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sicily'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alzey'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Franconia_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Transylvania'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Randersacker'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ardèche'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Siebeldingen'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/German_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria-Hungary'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Argentina'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/French_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Santorini'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italian_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Egypt'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Freiburg_im_Breisgau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Thurgau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bordeaux_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_West_France_(wine_region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_States'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Turkey'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_Africa'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alsace_wine'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Burgundy'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montferrat'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Loire'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montpellier'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovakia'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Verona'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Vicenza'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maissau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Weinsberg'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jura_(department)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Central_Europe'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rheingau'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(region)'}}, {'origin': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Israel'}}]}}"
25,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?person)
WHERE {
 ?child dbo:deathPlace dbr:Indiana.
 ?child dbo:parent?person.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '7'}}]}}"
26,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?branch
WHERE {
 ?person1 dbo:militaryBranch?branch.
 ?person2 dbo:militaryBranch?branch.
 ?person1 dbr:William_French_Smith.
 ?person2 dbr:Pierre_R._Graham.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 11: syntax error at \'.\' before \'?person2\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?branch\\nWHERE {\\n ?person1 dbo:militaryBranch?branch.\\n ?person2 dbo:militaryBranch?branch.\\n ?person1 dbr:William_French_Smith.\\n ?person2 dbr:Pierre_R._Graham.\\n}\\n""']"
27,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?river
WHERE {
 ?river dbo:source dbr:Lake_Ontario.
}
","{'head': {'link': [], 'vars': ['river']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'river': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Saint_Lawrence_River'}}]}}"
28,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?city
WHERE {
 ?city dbo:locationCity dbr:Denver_Broncos.
 ?city dbo:placeOfBirth dbr:Steven_Clark_Cunningham.
}
","{'head': {'link': [], 'vars': ['city']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
29,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?religion
WHERE {
  dbr:Emel_Magazine dbo:foundedBy?foundedBy.
 ?foundedBy dbo:religion?religion.
}
","{'head': {'link': [], 'vars': ['religion']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
30,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?managerLabel
WHERE {
  {?manager dbo:managerClub dbr:England_national_under-20_football_team. }
  UNION
  {?manager dbo:managerClub dbr:England_national_under-21_football_team. }
}
SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb\'Virtuoso 37000 Error SP030: SPARQL compiler, line 13: syntax error at \\\'SERVICE\\\' before \\\'wikibase:label\\\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?managerLabel\\nWHERE {\\n  {?manager dbo:managerClub dbr:England_national_under-20_football_team. }\\n  UNION\\n  {?manager dbo:managerClub dbr:England_national_under-21_football_team. }\\n}\\nSERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }\\n\'']"
31,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?city)
WHERE {
 ?city dbo:isLocatedNear?sea.
 ?sea dbo:isPartOf dbr:Fig_Tree_Bay.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
32,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK WHERE {
  dbr:Blue_Lagoon_Island dbo:archipelago dbr:Bahamas.
}
","{'head': {'link': []}, 'boolean': False}"
33,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?film
WHERE {
 ?film dbo:distributor dbr:RKO_Pictures.
 ?film dbo:musicComposer dbr:Bernard_Herrmann.
}
","{'head': {'link': [], 'vars': ['film']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'film': {'type': 'uri', 'value': 'http://dbpedia.org/resource/On_Dangerous_Ground'}}, {'film': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Devil_and_Daniel_Webster_(film)'}}, {'film': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Citizen_Kane'}}]}}"
34,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?merged
WHERE {
 ?party1 dbo:merge?party2.
 ?party1 dbr:New_Way_party.
 ?party2 dbr:One_Israel_party.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 10: syntax error at \'.\' before \'?party2\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?merged\\nWHERE {\\n ?party1 dbo:merge?party2.\\n ?party1 dbr:New_Way_party.\\n ?party2 dbr:One_Israel_party.\\n}\\n""']"
35,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?driver)
WHERE {
 ?grandPrix dbo:firstDriver dbr:Damon_Hill.
 ?grandPrix dbo:poleDriver?driver.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '22'}}]}}"
36,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?location
WHERE {
  dbr:Dubai_World_Cup dbo:location?location.
}
","{'head': {'link': [], 'vars': ['location']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_Arab_Emirates'}}, {'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dubai'}}, {'location': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Meydan_Racecourse'}}]}}"
37,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?owner
WHERE {
 ?newspaper dbo:founder dbr:Nehru.
 ?newspaper dbo:owner?owner.
}
","{'head': {'link': [], 'vars': ['owner']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
38,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?place
WHERE {
 ?airline dbo:headquarter?place.
 ?flight dbo:operatedBy?airline.
 ?flight dbo:departureAirport?place.
}
","{'head': {'link': [], 'vars': ['place']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
39,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?magazine
WHERE {
 ?magazine dbo:founder dbr:Ralph_J._Gleason.
}
","{'head': {'link': [], 'vars': ['magazine']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'magazine': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rolling_Stone'}}]}}"
40,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK WHERE {
  dbr:USS_Marmora_(IX-189) dbo:shipBuilder?location.
 ?location dbo:location dbr:Seattle.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 8: syntax error at \'IX\' before \'-\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nASK WHERE {\\n  dbr:USS_Marmora_(IX-189) dbo:shipBuilder?location.\\n ?location dbo:location dbr:Seattle.\\n}\\n""']"
41,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:Tirana dbo:largestCity dbr:Albania
}
","{'head': {'link': []}, 'boolean': False}"
42,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?city
WHERE {
 ?beverage dbo:locationCity?city.
 ?beverage rdfs:label ""Barq's""@en.
}
","{'head': {'link': [], 'vars': ['city']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
43,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?birthplace
WHERE {
 ?astronaut dbo:birthPlace?birthplace.
 ?mission dbo:spacestation?astronaut.
 ?mission dbo:mission dbr:Vostok_programmer.
}
","{'head': {'link': [], 'vars': ['birthplace']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
44,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?person)
WHERE {
 ?person dbo:almaMater?institute.
 ?institute dbo:campus dbr:Suburb.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '10701'}}]}}"
45,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?debutWork
WHERE {
  dbr:Whitney_Wistert dbo:debutWork?debutWork.
}
","{'head': {'link': [], 'vars': ['debutWork']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
46,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?shrine
WHERE {
 ?monarch dbo:successor dbr:Dragimir_of_Travunia.
 ?monarch dbo:successor dbr:Zachlumia.
 ?monarch dbo:majorShrine?shrine.
}
","{'head': {'link': [], 'vars': ['shrine']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
47,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT COUNT(?show)
WHERE {
 ?show dbo:channel dbr:Fox_Broadcasting_Company.
}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '163'}}]}}"
48,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?river
WHERE {
 ?river dbo:mouthLocation dbr:Arctic_Ocean.
 ?river dbo:mouthLocation dbr:Laptev_Sea.
}
","{'head': {'link': [], 'vars': ['river']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
49,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?war
WHERE {
 ?pm dbo:primeMinister dbr:Chung_Il_Kwon.
 ?war dbo:hasParticipant?pm.
}
","{'head': {'link': [], 'vars': ['war']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
50,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?birthPlace
WHERE {
 ?person dbo:deathPlace dbr:Bryn_Mawr_Hospital.
 ?person dbo:birthPlace?birthPlace.
}
","{'head': {'link': [], 'vars': ['birthPlace']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'birthPlace': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Colorado'}}]}}"
51,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?faith?school
WHERE {
  dbr:Ajith_Perera dbo:religiousAffiliation?faith.
  dbr:Neungin_High_School dbo:religiousAffiliation?school.
}
","{'head': {'link': [], 'vars': ['faith', 'school']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
52,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?member
WHERE {
 ?member dbo:militaryRole dbr:Air_interdiction.
}
","{'head': {'link': [], 'vars': ['member']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
53,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?members
WHERE {
 ?members dbo:currentMembers dbr:Insects_vs_Robots.
}
","{'head': {'link': [], 'vars': ['members']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
54,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
 ?company dbo:country?country.
 ?country dbr:Croatia.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 9: syntax error at \'.\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nASK {\\n ?company dbo:country?country.\\n ?country dbr:Croatia.\\n}\\n""']"
55,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?person
WHERE {
 ?person dbo:homeTown dbr:Greater_Napanee.
}
","{'head': {'link': [], 'vars': ['person']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
56,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?deathPlace
WHERE {
  dbr:Edwin_Adams dbo:deathPlace?deathPlace.
  dbr:William_A_Purtell dbo:birthPlace?deathPlace.
}
","{'head': {'link': [], 'vars': ['deathPlace']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
57,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?nationalteam
WHERE {
  dbr:Trn_Vit_Hng dbo:nationalteam?nationalteam.
}
","{'head': {'link': [], 'vars': ['nationalteam']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
58,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?designer
WHERE {
 ?designer dbo:operator dbr:Renfe.
}
","{'head': {'link': [], 'vars': ['designer']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
