Unnamed: 0,consult,output
12,"
SELECT DISTINCT COUNT(?uri) WHERE {?x <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/World_War_II>.?x <http://dbpedia.org/property/battles>?uri .?x <http://www.w3.org/1999/02-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryPerson>}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
13,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/network>?x.?x <http://dbpedia.org/property/parentOrganization> <http://dbpedia.org/resource/Comcast> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
14,"
ASK WHERE { <http://dbpedia.org/resource/William_H_Blanchard> <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/Colorado> }
","{'head': {'link': []}, 'boolean': False}"
15,"
SELECT?uri WHERE { <http://dbpedia.org/resource/Vishwajyot_High_School> <http://dbpedia.org/ontology/sport>?uri.?uri <http://dbpedia.org/ontology/genre> ""Battle chess"" }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
16,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/district> <http://dbpedia.org/resource/Channel_(district)>.?x <http://dbpedia.org/ontology/state>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
17,"
SELECT DISTINCT?uri WHERE {
  {?uri <http://dbpedia.org/property/mission> <http://dbpedia.org/resource/Apollo_11>}
  UNION
  {?uri <http://dbpedia.org/property/mission> <http://dbpedia.org/resource/Gemini_8>}
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Neil_Armstrong'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Buzz_Aldrin'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Michael_Collins_(astronaut)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/David_Scott'}}]}}"
18,"
SELECT DISTINCT COUNT(?uri) WHERE {?x <http://dbpedia.org/property/tenants> <http://dbpedia.org/resource/Raptors_905>.?x <http://dbpedia.org/property/tenants>?uri. FILTER(?uri!= <http://dbpedia.org/resource/Raptors_905>)}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
19,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/officialWebsite> <http://www.dzogchenponolop.com> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
20,"
SELECT DISTINCT?owner WHERE { 
   ?tunnel <http://dbpedia.org/ontology/operatedBy> <http://dbpedia.org/resource/Massachusetts_Department_of_Transportation>.
   ?tunnel <http://dbpedia.org/property/owner>?owner.
   ?tunnel <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/RoadTunnel>.
}
","{'head': {'link': [], 'vars': ['owner']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'owner': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Massachusetts'}}]}}"
21,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Saraband_(film)> <http://dbpedia.org/ontology/director>?x.?x <http://dbpedia.org/property/awards>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
22,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/vicePresident> <http://dbpedia.org/resource/Enrique_José_Vargas_Varona>.?x <http://dbpedia.org/ontology/almaMater>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
23,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Birmingham'}}]}}"
24,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/species> <http://dbpedia.org/resource/Vitis_vinifera>.?x <http://dbpedia.org/ontology/origin>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Georgia_(country)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Croatia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Spain'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hungary'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/France'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Germany'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lauffen_am_Neckar'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Portugal'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Klosterneuburg'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Geisenheim'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Switzerland'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Greece'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bosnia_and_Herzegovina'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/California'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Czechoslovakia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moravia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Refosco'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovenia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Friuli-Venezia_Giulia_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cyprus'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Republic_of_Macedonia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lorraine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rhine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Romania'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldova'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ukraine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Serbia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bulgaria'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Moldavia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(wine_region)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sicily'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alzey'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Franconia_(wine_region)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Transylvania'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Randersacker'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ardèche'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Siebeldingen'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/German_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Austria-Hungary'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Argentina'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/French_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Santorini'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Italian_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Egypt'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Freiburg_im_Breisgau'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Thurgau'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bordeaux_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_West_France_(wine_region)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_States'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Turkey'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/South_Africa'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Alsace_wine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Burgundy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montferrat'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Loire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Montpellier'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Slovakia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Verona'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Province_of_Vicenza'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maissau'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Weinsberg'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jura_(department)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Central_Europe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rheingau'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Palatinate_(region)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Israel'}}]}}"
25,"
SELECT DISTINCT COUNT(?uri) WHERE {?x <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Indiana>.?uri <http://dbpedia.org/ontology/child>?x . }
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '10'}}]}}"
26,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/William_French_Smith> <http://dbpedia.org/property/branch>?uri.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>.?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Pierre_R. Graham>}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 4: syntax error at \'<\' before \'http:\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nSELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/William_French_Smith> <http://dbpedia.org/property/branch>?uri.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>.?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Pierre_R. Graham>}\\n""']"
27,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/source> <http://dbpedia.org/resource/Lake_Ontario> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Saint_Lawrence_River'}}]}}"
28,"
SELECT DISTINCT?locationCity WHERE {
  <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity>?locationCity.
  <http://dbpedia.org/resource/Steven_Clark_Cunningham> <http://dbpedia.org/property/placeOfBirth>?locationCity.
}
","{'head': {'link': [], 'vars': ['locationCity']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
29,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Emel_Magazine>.?x <http://dbpedia.org/property/religion>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
30,"
SELECT DISTINCT?manager WHERE {
  {
   ?team <http://dbpedia.org/property/managerclubs> <http://dbpedia.org/resource/England_national_under-20_football_team>.
   ?team <http://dbpedia.org/property/manager>?manager.
  }
  UNION
  {
   ?team <http://dbpedia.org/property/managerclubs> <http://dbpedia.org/resource/England_national_under-21_football_team>.
   ?team <http://dbpedia.org/property/manager>?manager.
  }
}
","{'head': {'link': [], 'vars': ['manager']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
31,"
SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/isPartOf> <http://dbpedia.org/resource/Fig_Tree_Bay>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
32,"
ASK WHERE { <http://dbpedia.org/resource/Blue_Lagoon_Island> <http://dbpedia.org/property/archipelago> <http://dbpedia.org/resource/The_Bahamas> }
","{'head': {'link': []}, 'boolean': True}"
33,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/RKO_Pictures>.?uri <http://dbpedia.org/ontology/musicComposer> <http://dbpedia.org/resource/Bernard_Herrmann> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/On_Dangerous_Ground'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Devil_and_Daniel_Webster_(film)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Citizen_Kane'}}]}}"
34,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/mergedWith> <http://dbpedia.org/resource/One_Israel_party>.?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Party>. FILTER(STR(?x) = ""http://dbpedia.org/resource/New_Way_party"")}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
35,"
SELECT (COUNT(DISTINCT?uri) AS?count) WHERE { 
 ?x <http://dbpedia.org/ontology/firstDriver> <http://dbpedia.org/resource/Damon_Hill>. 
 ?x <http://dbpedia.org/ontology/poleDriver>?uri. 
 ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GrandPrix>
}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '9'}}]}}"
36,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/occupation> <http://dbpedia.org/resource/Jockey>.?x <http://dbpedia.org/property/residence>?uri.?x <http://dbpedia.org/property/nationality> <http://dbpedia.org/resource/United_Arab_Emirates> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
37,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/founder> <http://dbpedia.org/resource/Bhagat_Singh_Mookher_Jee>.?uri <http://dbpedia.org/property/owners>?x .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Newspaper>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
