Unnamed: 0,model,method,consult,output
10,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
11,deepseek-coder-6.7b-instruct,None,"
PREFIX tvshow: <http://example.com/tvshow#>
PREFIX artist: <http://example.com/artist#>

SELECT?tvshowName
WHERE {
 ?tvshow a tvshow:TVShow.
 ?tvshow tvshow:name?tvshowName.
 ?tvshow tvshow:artist?artist.
 ?artist a artist:Artist.
 ?artist artist:name ""Christopher Franke"".
 ?tvshow tvshow:network ""Prime Time Entertainment Network"".
}
","{'head': {'link': [], 'vars': ['tvshowName']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
12,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
13,deepseek-coder-6.7b-instruct,None,"
PREFIX org: <http://www.example.com/org#>

SELECT?network
WHERE {
 ?network org:parent org:comcast.
}
","{'head': {'link': [], 'vars': ['network']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
14,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
15,deepseek-coder-6.7b-instruct,None,"
PREFIX schema: <http://schema.org/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT?sport
WHERE {
 ?school a schema:CollegeOrUniversity ;
          foaf:name ""Vishwajyot High School"" ;
          schema:sport?sport.
}
","{'head': {'link': [], 'vars': ['sport']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
16,deepseek-coder-6.7b-instruct,None,"
PREFIX schema: <http://schema.org/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT?state
WHERE {
 ?district a schema:CityOrTown ;
            foaf:name ""Channel"" ;
            schema:containedInPlace?place.
 ?place a schema:AdministrativeArea ;
         schema:addressRegion?state.
}
","{'head': {'link': [], 'vars': ['state']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
17,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT?mission?astronaut
WHERE {
 ?mission a ex:Mission ;
           ex:missionNumber?missionNumber ;
           ex:missionType ex:Apollo ;
           ex:missionName?missionName ;
           ex:astronaut?astronaut.
  FILTER (str(?missionNumber) = ""11"" || str(?missionNumber) = ""8"")
}
","{'head': {'link': [], 'vars': ['mission', 'astronaut']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
18,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT (SUM(?numberOfTenants) AS?totalTenants)
WHERE {
 ?stadium ex:hasTenant?tenant.
 ?stadium ex:numberOfTenants?numberOfTenants.
 ?tenant rdfs:label ""Raptors 905"".
}
","{'head': {'link': [], 'vars': ['totalTenants']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{}]}}"
19,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
20,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
21,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
22,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
23,deepseek-coder-6.7b-instruct,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <http://schema.org/>
PREFIX ssn: <http://purl.oclc.org/net/ssnx/ssn#>

SELECT?endPoint
WHERE {
 ?railwayRoute a ssn:TrainRoute ;
               ssn:hasJourney?journey ;
               ssn:hasEndPoint?endPoint.
 ?journey ssn:hasEndPoint?endPoint.
 ?endPoint rdfs:label ""Birmingham""@en ;
            ssn:hasJourney?journey.
 ?journey ssn:hasStartPoint?startPoint.
 ?startPoint rdfs:label ""Oxford Junction""@en.
}
","{'head': {'link': [], 'vars': ['endPoint']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
24,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
25,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
26,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
27,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT?name
WHERE {
 ?river a ex:River ;
         ex:source ""Lake Ontario"" ;
         ex:name?name.
}
","{'head': {'link': [], 'vars': ['name']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
28,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
29,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
30,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
31,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT (COUNT(?city) AS?numberOfCities)
WHERE {
 ?city ex:hasSeaBed?seaBed.
 ?seaBed ex:hasFigTreeBay?figTreeBay.
}
","{'head': {'link': [], 'vars': ['numberOfCities']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'numberOfCities': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
32,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
33,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
34,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
35,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
36,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
37,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
38,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
39,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
40,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
41,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
42,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
43,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
44,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT (COUNT(?student) AS?count)
WHERE {
 ?student a ex:Student.
 ?student ex:studyLocation ex:Suburb.
}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
45,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
46,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
47,deepseek-coder-6.7b-instruct,None,"
PREFIX fo: <http://purl.org/ontology/fo/>

SELECT (COUNT(?show) AS?count)
WHERE {
 ?show fo:broadcaster <http://dbpedia.org/resource/Fox_Broadcasting_Company>.
}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
48,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
49,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
50,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
51,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
52,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
53,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
54,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
55,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
56,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
57,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
58,deepseek-coder-6.7b-instruct,None,"
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/resource/>

SELECT?designer
WHERE {
 ?designer a foaf:Person.
 ?renfe a dbpedia:Renfe.
 ?center a dbpedia:Renaissance_Center.
 ?designer dbpedia:owns?renfe.
 ?designer dbpedia:owns?center.
}
","{'head': {'link': [], 'vars': ['designer']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
59,deepseek-coder-6.7b-instruct,None,"
PREFIX uni: <http://example.com/university#>
PREFIX person: <http://example.com/person#>

SELECT?university
WHERE {
 ?university uni:student person:Joshua_A_Siegel.
}
","{'head': {'link': [], 'vars': ['university']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
60,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT (COUNT(?book) AS?count)
WHERE {
 ?book a ex:Book ;
        ex:author?author.
 ?author a ex:Author ;
          ex:name ""Novelas Ejemplares"" ;
          ex:genre?genre.
  FILTER (str(?genre) = ""Novela"")
}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
61,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT?name
WHERE {
 ?river a ex:River ;
         ex:origin ""Essex"" ;
         ex:name?name.
}
","{'head': {'link': [], 'vars': ['name']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
62,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
63,deepseek-coder-6.7b-instruct,None,"
PREFIX imdb: <http://www.imdb.com/>
PREFIX schema: <http://schema.org/>

SELECT?episode
WHERE {
 ?character schema:name ""Timm Gunn"".
 ?episode schema:actor?character.
 ?episode schema:name ""Sunrise"".
 ?episode schema:partOfSeries imdb:title/schema:name ""How I Met Your Mother"".
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb\'Virtuoso 37000 Error SP030: SPARQL compiler, line 12: syntax error at \\\'/\\\' before \\\'schema:name\\\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX imdb: <http://www.imdb.com/>\\nPREFIX schema: <http://schema.org/>\\n\\nSELECT?episode\\nWHERE {\\n ?character schema:name ""Timm Gunn"".\\n ?episode schema:actor?character.\\n ?episode schema:name ""Sunrise"".\\n ?episode schema:partOfSeries imdb:title/schema:name ""How I Met Your Mother"".\\n}\\n\'']"
64,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
65,deepseek-coder-6.7b-instruct,None,"
PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
PREFIX schema: <http://schema.org/>

SELECT?city?distance
WHERE {
 ?house schema:name ""David W. Brown House"" ;
         geo:lat?houseLat ;
         geo:long?houseLong.

 ?city schema:population?population ;
        geo:lat?cityLat ;
        geo:long?cityLong.

  BIND((acos(sin(?houseLat)*sin(?cityLat) + cos(?houseLat)*cos(?cityLat)*cos(?cityLong -?houseLong)) * 6371) as?distance)
}
ORDER BY?distance
LIMIT 1
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb\'Virtuoso 37000 Error SP030: SPARQL compiler, line 17: syntax error at \\\'acos\\\' before \\\'(\\\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>\\nPREFIX schema: <http://schema.org/>\\n\\nSELECT?city?distance\\nWHERE {\\n ?house schema:name ""David W. Brown House"" ;\\n         geo:lat?houseLat ;\\n         geo:long?houseLong.\\n\\n ?city schema:population?population ;\\n        geo:lat?cityLat ;\\n        geo:long?cityLong.\\n\\n  BIND((acos(sin(?houseLat)*sin(?cityLat) + cos(?houseLat)*cos(?cityLat)*cos(?cityLong -?houseLong)) * 6371) as?distance)\\n}\\nORDER BY?distance\\nLIMIT 1\\n\'']"
66,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
67,deepseek-coder-6.7b-instruct,None,"
PREFIX ex: <http://example.com/>

SELECT?city
WHERE {
 ?city ex:near <http://example.com/FountainLakeFarm>.
}
","{'head': {'link': [], 'vars': ['city']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
